Model,RMSE,MAE,R2_Score
LSTM,62.80848096391392,62.57016957871363,-883390.9246953169
LSTM,62.83004506830776,62.5810613099003,-883997.6206556328
LSTM,62.937322831207176,62.66665823674997,-887018.9253486939
Transformer,0.028923706448680045,0.021205322516957413,0.812662493576302
Transformer,0.034950922878544656,0.030198773745783777,0.7264516242349541
